id;codigo;nombre;ciudad;pais
1;86308;monetize Run Rubber;Oregon;SMTP Director Rubber
2;36913;purple Incredible Granite Sausages;turn-key Bulgaria Lithuanian Litas;Granite Ergonomic Rubber Computer
3;18675;Money Market Account Small Borders;Coordinator Licensed Wooden Shirt pricing structure;Officer Officer
4;1659;Enterprise-wide Agent;Face to face SDD Albania;ivory
5;52553;Bedfordshire Licensed Soap;e-tailers Minnesota Cambridgeshire;Producer
6;43816;backing up;Borders Innovative recontextualize;architectures AI
7;15491;help-desk HTTP Chips;reciprocal Home Loan Account;Director Investment Account
8;65603;parse Kansas;customized web-enabled;Intranet Fresh AI
9;58841;input white circuit;Lock User-centric fault-tolerant;invoice Bedfordshire user-centric
10;10785;parsing;circuit compressing Licensed Steel Shoes;GB implementation directional
