id;id_avion;marca;capacidad;modelo
1;55788;Ball systems mission-critical;capacity Money Market Account convergence;Wyoming parse
2;78425;Greens Metal;Investment Account optical;haptic online
3;73821;Shoes Pine Infrastructure;Oregon Metal architectures;motivating override Squares
4;85382;Customer Andorra Wisconsin;Metal Handcrafted Wooden Bacon;Court Lead
5;38399;white Director;violet drive;flexibility Facilitator SSL
6;47958;Ergonomic Gorgeous mobile;monetize Reverse-engineered demand-driven;Expanded Central African Republic Kenyan Shilling
7;6323;communities encompassing bus;Investment Account;efficient Administrator
8;33378;Towels Tunnel;standardization withdrawal;Metal Louisiana robust
9;52217;quantifying quantifying;Chief;Bahraini Dinar national AI
10;94054;Web Functionality;5th generation;synergies Sierra Leone
