id;id_escala;origen;destino;suben_pasajeros
1;13259;responsive Graphical User Interface orchid;Belarussian Ruble;Kina generate
2;84168;Agent European Unit of Account 17(E.U.A.-17);Handcrafted Intelligent Steel Hat;task-force
3;76490;Corporate;navigate panel;Future
4;81632;Ergonomic;Metal;Gloves Grenada Expanded
5;74178;Corporate;bandwidth;Borders
6;61006;Connecticut Car Steel;Soft benchmark;District
7;30698;unleash Towels niches;Investor transmit Quality-focused;Officer payment
8;16053;policy end-to-end Data;Montana Small;Facilitator
9;82421;Assistant;auxiliary back-end olive;proactive 1080p PNG
10;13686;Garden Savings Account;Cotton Central;Rustic Rubber Soap programming
