id;escala;idprograma;linea;dias
1;disintermediate;69684;intangible;2020-09-19
2;Walk intuitive object-oriented;57426;neural Practical Cotton Tuna;2020-09-19
3;Gibraltar;71967;Jewelery Seamless;2020-09-19
4;solutions models;38184;Kiribati;2020-09-19
5;Designer transmitter Legacy;52239;Rufiyaa compress;2020-09-18
6;Tactics;63618;Future-proofed extend;2020-09-19
7;Taka;79878;connect Albania;2020-09-18
8;contextually-based regional Bike;71169;supply-chains Rupiah Qatari Rial;2020-09-18
9;Maryland Senior;86445;Ergonomic;2020-09-19
10;synergize enterprise compressing;55213;Iran haptic Czech Republic;2020-09-18
